gold_id,set,outcome_text,v3_gold,v3_suggested,v3_alternates,via_v2,via_2x,needs_review,review_reason,codebook_gap,expected_uncoded,adjudication_note,status,adjudicated_by,adjudicated_on
S164,design,Parents will serve on the program's family advisory council.,F1.9 Family Participation & Leadership,F1.9 Family Participation & Leadership,"F1.8 Family Connection & Trust with the Program | Y6.4 Civic Voice, Leadership & Participation",F1.9,F1.8,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S165,design,Parents will read to their child at least 3 times per week.,,F1.2 Home Learning Environment & Routines,F1.1 Parenting Knowledge & Practices,F1.2,F1.2,no,,0,false,,proposed,,
S166,design,Apprentices will complete a registered apprenticeship program.,,"Y7.4 Technical Skills, Credentials & Work-Based Learning",,Y7.4,Y7.4,no,,0,false,,proposed,,
S167,design,Youth will practice forgiveness in their relationships with family and friends.,Y6.1 Positive Values & Character,Y6.1 Positive Values & Character,Y4.8 Relationship-Building & Conflict Resolution | Y3.4 Family Relationships,Y6.1,Y4.8,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S168,design,Students will be able to read a pay stub and explain payroll deductions.,,Y7.6 Financial Capability,Y1.3 Mathematics,Y7.6,Y7.6,no,,0,false,,proposed,,
S169,design,Participants will collaborate with peers on a group theater production.,,"Y4.7 Teamwork, Collaboration & Group Leadership",,Y4.7,Y4.7,no,,0,false,,proposed,,
S170,design,"Students will show improved emotional regulation, reduced disciplinary referrals, and better peer relationships.",,Y4.2 Emotion Regulation & Coping,,Y4.2,Y4.2,no,,0,false,,proposed,,
S171,design,"Youth will demonstrate punctuality, professional communication, and appropriate workplace attire.",,Y7.3 Employability & Workplace Skills,,Y7.3,Y7.3,no,,0,false,,proposed,,
S172,design,Youth will develop skills to resist peer pressure and avoid risky behaviors.,,Y4.12 Risk Avoidance & Refusal Skills,Y8.11 Substance Use,Y4.12,Y4.12,no,,0,false,,proposed,,
S173,design,Parents will increase their understanding of child developmental milestones and appropriate expectations.,,F1.1 Parenting Knowledge & Practices,,F1.1,F1.1,no,,0,false,,proposed,,
S174,design,Sites will improve their Youth Program Quality Assessment scores in the interaction and engagement domains.,A2.1 Program Quality,A2.1 Program Quality,A1.2 Practice Change,A2.1,A1.2,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S175,design,Mentees will report that their mentor challenges them to keep improving.,,Y3.2 Supportive Adult Relationships,,Y3.2,Y3.2,no,,0,false,,proposed,,
S176,design,The program will create a family advisory board with parent representatives.,F1.9 Family Participation & Leadership,F1.9 Family Participation & Leadership,A2.6 Family Engagement Systems | A3.1 Policy & Institutional Change,F1.9,A2.6,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S177,design,Participants will build new friendships with peers from different schools and grade levels.,,Y3.3 Peer Relationships & Friendship,Y4.5 Respect for Diversity & Cultural Competence,Y3.3,Y3.3,no,,0,false,,proposed,,
S178,design,First-generation students will persist into their second year of college.,,"Y1.18 Postsecondary Enrollment, Persistence & Completion",,Y1.18,Y1.18,no,,0,false,,proposed,,
S179,design,"Youth will demonstrate improved frustration tolerance during homework time, leading to more assignments completed on time.",,Y4.2 Emotion Regulation & Coping,Y1.10 Academic Perseverance,Y4.2,Y4.2,no,,0,false,,proposed,,
S180,design,Athletes will demonstrate good sportsmanship (win or lose gracefully).,,Y6.1 Positive Values & Character,Y4.11 Ethical & Prosocial Choices,Y6.1,Y6.1,no,,0,false,,proposed,,
S181,design,Parents will report feeling more connected to their child's school community.,,F1.8 Family Connection & Trust with the Program,F1.5 Caregiver Social Connections,F1.8,F1.8,no,,0,false,,proposed,,
S182,design,Youth will register to vote and participate in local elections.,,"Y6.4 Civic Voice, Leadership & Participation",Y6.2 Civic Knowledge,Y6.4,Y6.4,no,,0,false,,proposed,,
S183,design,Mentors will complete 6 hours of pre-match training.,"A2.5 Participation, Dosage & Reach (Output)","A2.5 Participation, Dosage & Reach (Output)",A1.1 Staff & Volunteer Knowledge & Skills,A2.5,A1.1,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S184,design,Youth will complete 20 hours of community service through park cleanups and food drives.,,Y6.5 Community Service & Action,"A2.5 Participation, Dosage & Reach (Output)",Y6.5,Y6.5,no,,0,false,,proposed,,
S185,design,Youth will increase their knowledge of local ecosystems and environmental science concepts.,"Y1.4 Science, Technology & Engineering","Y1.4 Science, Technology & Engineering",Y1.5 Other Academic Subjects | Y6.6 Environmental Stewardship,Y1.4,Y1.5,yes,v2 and 2.x routes disagree; 2.x code 1.3 was split,0,false,,adjudicated,Severin,2026-09-26
S186,design,Youth will build friendships with both disabled and non-disabled peers in an inclusive setting.,,Y3.3 Peer Relationships & Friendship,Y4.5 Respect for Diversity & Cultural Competence,Y3.3,Y3.3,no,,0,false,,proposed,,
S187,design,Youth will increase their knowledge of nutrition and healthy cooking skills.,Y8.1 Healthy Daily Habits,Y8.1 Healthy Daily Habits,Y7.7 Independent Living Skills,Y8.1,Y8.1,yes,2.x code 8.1 was split,0,false,,adjudicated,Severin,2026-09-26
S188,design,Students will visit at least three college campuses before senior year.,Y7.2 College & Career Transition Knowledge,Y7.1 Career Awareness & Exploration,,Y7.1,Y7.2,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S189,design,Youth will successfully complete probation requirements and court-ordered conditions.,,"Y8.13 Justice Involvement, Diversion & Reentry",,Y8.13,Y8.13,no,,0,false,,proposed,,
S190,design,Graduates will enroll in a two- or four-year college the fall after high school.,,"Y1.18 Postsecondary Enrollment, Persistence & Completion",,Y1.18,Y1.18,no,,0,false,,proposed,,
S191,design,Youth in extended foster care will enroll in health insurance through Medicaid until age 26.,Y8.5 Health Care Access & Condition Management,Y8.5 Health Care Access & Condition Management,"F2.1 Income, Benefits & Financial Stability",Y8.5,F2.1,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S192,design,Children will demonstrate fine motor skills such as holding a pencil and using scissors.,Y8.2 Motor & Sport Skills,Y8.2 Motor & Sport Skills,Y1.8 Early Learning & School Readiness,Y8.2,Y1.8,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S193,design,Parents will report knowing where to turn for help in a crisis.,F1.7 System Navigation & Rights Knowledge,F1.7 System Navigation & Rights Knowledge,"F2.1 Income, Benefits & Financial Stability | F1.5 Caregiver Social Connections",F1.7,F2.1,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S194,design,New students will make at least two friends in the program.,,Y3.3 Peer Relationships & Friendship,Y3.1 Belonging & Mattering,Y3.3,Y3.3,no,,0,false,,proposed,,
S195,design,The coalition will establish a shared data system across five youth-serving agencies.,A3.2 Cross-Sector Partnerships,A3.2 Cross-Sector Partnerships,A3.1 Policy & Institutional Change,A3.2,A3.1,yes,v2 and 2.x routes disagree; 2.x code 11.3 was split,0,false,,adjudicated,Severin,2026-09-26
S196,design,Families will receive a laptop and home internet access.,,A2.3 Access to Resources,"F1.6 Adult Education, Skills & Employment",A2.3,A2.3,no,,0,false,,proposed,,
S197,design,Students will critique a peer's artwork using the language of the discipline.,,Y2.5 Creative Expression & Performance,"Y4.4 Empathy, Perspective-Taking & Social Awareness",Y2.5,Y2.5,no,,0,false,,proposed,,
S198,design,"Families will secure stable, safe housing within 90 days of program enrollment.",,F2.3 Housing Stability & Safe Living Situation,,F2.3,F2.3,no,,0,false,,proposed,,
S199,design,Students will develop technical proficiency on their chosen instrument.,Y1.6 Arts Learning,Y1.6 Arts Learning,Y1.5 Other Academic Subjects,Y1.6,Y1.5,yes,v2 and 2.x routes disagree; 2.x code 1.3 was split,0,false,,adjudicated,Severin,2026-09-26
S200,design,Youth experiencing homelessness will reduce nights spent on the street or in unsafe locations.,,F2.3 Housing Stability & Safe Living Situation,Y8.10 Felt Safety,F2.3,F2.3,no,,0,false,,proposed,,
S201,design,Summer youth employees will receive a positive supervisor evaluation.,Y7.3 Employability & Workplace Skills,Y7.3 Employability & Workplace Skills,Y7.5 Employment & Earnings,Y7.3,Y7.5,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S202,design,Students will demonstrate increased confidence in their academic abilities.,,Y1.12 Academic Mindsets & Self-Efficacy,"Y5.4 Confidence, Self-Efficacy & Self-Worth",Y1.12,Y1.12,no,,0,false,,proposed,,
S203,design,Youth will learn about local watershed ecology.,"Y1.4 Science, Technology & Engineering","Y1.4 Science, Technology & Engineering",Y1.5 Other Academic Subjects | Y6.6 Environmental Stewardship,Y1.4,Y1.5,yes,v2 and 2.x routes disagree; 2.x code 1.3 was split,0,false,,adjudicated,Severin,2026-09-26
S204,design,Staff will adopt trauma-informed practices in their classrooms.,,A1.2 Practice Change,,A1.2,A1.2,no,,0,false,,proposed,,
S205,design,Youth will get at least eight hours of sleep on school nights.,Y8.1 Healthy Daily Habits,Y8.1 Healthy Daily Habits,,Y8.1,Y8.1,yes,2.x code 8.1 was split,0,false,,adjudicated,Severin,2026-09-26
S206,design,Family members will increase their digital literacy and confidence using technology for telehealth and school portals.,"F1.6 Adult Education, Skills & Employment","F1.6 Adult Education, Skills & Employment",Y6.7 Digital Citizenship & Online Safety | A2.3 Access to Resources,F1.6,Y6.7,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S207,design,Participants will reduce screen time and increase physical activity outside of program hours.,Y8.1 Healthy Daily Habits,Y8.1 Healthy Daily Habits,,Y8.1,Y8.1,yes,2.x code 8.1 was split,0,false,,adjudicated,Severin,2026-09-26
S208,design,Students will improve their math problem-solving skills and grade-level proficiency.,,Y1.3 Mathematics,Y4.10 Decision-Making & Problem-Solving,Y1.3,Y1.3,no,,0,false,,proposed,,
S209,design,Youth will resolve disagreements with peers without fighting.,,Y4.8 Relationship-Building & Conflict Resolution,"Y8.12 Violence, Bullying & Victimization",Y4.8,Y4.8,no,,0,false,,proposed,,
S210,design,Families will reduce reliance on emergency food assistance over time.,,F2.2 Food Security,"F2.1 Income, Benefits & Financial Stability",F2.2,F2.2,no,,0,false,,proposed,,
S211,design,Youth council members will present policy recommendations to city council.,,"Y6.4 Civic Voice, Leadership & Participation",Y4.6 Communication & Public Speaking,Y6.4,Y6.4,no,,0,false,,proposed,,
S212,design,Students who experienced trauma will report feeling safe at school.,Y8.8 Healing & Trauma Recovery,Y3.1 Belonging & Mattering,Y8.10 Felt Safety,Y3.1,Y8.8,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S213,design,Youth will discover a new passion for dance.,,Y2.3 Sustained & Individual Interest,,Y2.3,Y2.3,no,,0,false,,proposed,,
S214,design,"Youth will continue pursuing robotics after the program ends, joining a school team.",,Y2.3 Sustained & Individual Interest,Y2.6 Participation in Enriching Activities,Y2.3,Y2.3,no,,0,false,,proposed,,
S215,design,"Youth will demonstrate safe and responsible online behavior, including recognizing scams and protecting personal information.",,Y6.7 Digital Citizenship & Online Safety,"Y1.7 Critical Thinking, Inquiry & Media Literacy",Y6.7,Y6.7,no,,0,false,,proposed,,
S216,design,Students will believe they can pass their algebra class.,,Y1.12 Academic Mindsets & Self-Efficacy,"Y5.4 Confidence, Self-Efficacy & Self-Worth",Y1.12,Y1.12,no,,0,false,,proposed,,
S217,design,Improve outcomes for students.,,none,,none,none,no,,0,true,,proposed,,
S218,design,Youth will secure a job within 90 days of release.,,Y7.5 Employment & Earnings,"Y8.13 Justice Involvement, Diversion & Reentry",Y7.5,Y7.5,no,,0,false,,proposed,,
S219,design,Students will earn college credit through dual enrollment in a CTE pathway.,Y1.16 Advanced Coursework & Dual Credit,Y1.16 Advanced Coursework & Dual Credit,"Y1.18 Postsecondary Enrollment, Persistence & Completion | Y7.4 Technical Skills, Credentials & Work-Based Learning",Y1.16,Y1.18,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S220,design,Children will show persistence and curiosity when working on puzzles and new tasks.,,Y1.10 Academic Perseverance,"Y4.3 Goal-Setting, Organization & Self-Discipline",Y1.10,Y1.10,no,,0,false,,proposed,,
S221,design,Students will increase their use of effective study strategies such as note-taking and test preparation.,,Y1.11 Learning Strategies & Study Skills,Y1.9 Academic Engagement Behaviors,Y1.11,Y1.11,no,,0,false,,proposed,,
S222,design,Students will report that there is an adult at the program who notices when they are absent.,,Y3.2 Supportive Adult Relationships,Y3.1 Belonging & Mattering,Y3.2,Y3.2,no,,0,false,,proposed,,
S223,design,Youth will stand up for classmates who are being treated unfairly.,,Y4.11 Ethical & Prosocial Choices,Y6.3 Critical Consciousness & Social Justice,Y4.11,Y4.11,no,,0,false,,proposed,,
S224,design,"Youth will demonstrate independent living skills such as cooking, budgeting, and scheduling appointments.",Y7.7 Independent Living Skills,Y7.7 Independent Living Skills,"Y4.3 Goal-Setting, Organization & Self-Discipline | Y7.6 Financial Capability",Y7.7,Y4.3,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S225,design,Youth staying at the shelter will exit to a safe and stable housing situation.,,F2.3 Housing Stability & Safe Living Situation,,F2.3,F2.3,no,,0,false,,proposed,,
S226,design,Youth will participate in a church-led service trip to rebuild homes.,,Y6.5 Community Service & Action,,Y6.5,Y6.5,no,,0,false,,proposed,,
S227,design,Youth will help set up and clean up the program space each day.,,Y4.11 Ethical & Prosocial Choices,Y6.5 Community Service & Action,Y4.11,Y4.11,no,,0,false,,proposed,,
S228,design,Program will distribute 200 refurbished laptops to low-income families this year.,,A2.3 Access to Resources,"A2.5 Participation, Dosage & Reach (Output)",A2.3,A2.3,no,,0,false,,proposed,,
S229,design,Participants will report carrying a weapon less often.,,"Y8.12 Violence, Bullying & Victimization",,Y8.12,Y8.12,no,,0,false,,proposed,,
S230,design,Team members will collaborate to design and build a robot.,,"Y4.7 Teamwork, Collaboration & Group Leadership","Y1.4 Science, Technology & Engineering",Y4.7,Y4.7,no,,0,false,,proposed,,
S231,design,Families of children with disabilities will report reduced caregiver stress and burnout.,,F1.4 Caregiver Well-Being & Resilience,,F1.4,F1.4,no,,0,false,,proposed,,
S232,design,Youth will develop coding and computational thinking skills.,"Y1.4 Science, Technology & Engineering","Y1.4 Science, Technology & Engineering",Y1.5 Other Academic Subjects,Y1.4,Y1.5,yes,v2 and 2.x routes disagree; 2.x code 1.3 was split,0,false,,adjudicated,Severin,2026-09-26
S233,design,Participating students will reduce chronic absenteeism from school.,,Y1.13 Attendance & School Stability,,Y1.13,Y1.13,no,,0,false,,proposed,,
S234,design,Youth will report feeling excited and happy to attend program each day.,,Y2.1 Enjoyment & Joy,Y3.1 Belonging & Mattering,Y2.1,Y2.1,no,,0,false,,proposed,,
S235,design,Students will turn in homework on time.,,Y1.9 Academic Engagement Behaviors,"Y4.3 Goal-Setting, Organization & Self-Discipline",Y1.9,Y1.9,no,,0,false,,proposed,,
S236,design,Youth will develop self-advocacy skills to communicate their needs and accommodations.,"Y5.6 Agency, Self-Determination & Self-Advocacy","Y5.6 Agency, Self-Determination & Self-Advocacy",Y4.9 Help-Seeking & Offering Support | Y4.6 Communication & Public Speaking,Y5.6,Y4.9,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S237,design,Students will develop coping strategies for managing stress.,,Y4.2 Emotion Regulation & Coping,,Y4.2,Y4.2,no,,0,false,,proposed,,
S238,design,The program will serve 300 youth across four sites.,,"A2.5 Participation, Dosage & Reach (Output)",,A2.5,A2.5,no,,0,false,,proposed,,
S239,design,Caregivers of children with autism will report reduced parenting stress.,,F1.4 Caregiver Well-Being & Resilience,F1.1 Parenting Knowledge & Practices,F1.4,F1.4,no,,0,false,,proposed,,
S240,design,Every participating family will have a working laptop and home internet.,,A2.3 Access to Resources,"F1.6 Adult Education, Skills & Employment | F2.1 Income, Benefits & Financial Stability",A2.3,A2.3,no,,0,false,,proposed,,
S241,design,Youth will re-enroll in school or obtain a GED following release.,Y1.17 High School Completion & Re-engagement,Y1.17 High School Completion & Re-engagement,"Y1.15 Grades, Credits & On-Track Status",Y1.17,Y1.15,yes,v2 and 2.x routes disagree; 2.x code 1.6 was split,0,false,,adjudicated,Severin,2026-09-26
S242,design,Youth will practice gratitude by writing thank-you notes to community volunteers.,,"Y4.4 Empathy, Perspective-Taking & Social Awareness",Y6.1 Positive Values & Character,Y4.4,Y4.4,no,,0,false,,proposed,,
S243,design,Youth will adopt a growth mindset when facing setbacks.,,"Y5.4 Confidence, Self-Efficacy & Self-Worth",Y1.12 Academic Mindsets & Self-Efficacy,Y5.4,Y5.4,no,,0,false,,proposed,,
S244,design,Tutors (college volunteers) will strengthen their own communication and mentoring skills through the experience.,,A1.1 Staff & Volunteer Knowledge & Skills,,A1.1,A1.1,no,,0,false,,proposed,,
S245,design,Caregivers will demonstrate use of positive discipline strategies at home.,,F1.1 Parenting Knowledge & Practices,,F1.1,F1.1,no,,0,false,,proposed,,
S246,design,Mentees will report that their mentor cares about them.,,Y3.2 Supportive Adult Relationships,Y3.1 Belonging & Mattering,Y3.2,Y3.2,no,,0,false,,proposed,,
S247,design,Participants will grow and harvest vegetables in the community garden.,Y6.6 Environmental Stewardship,Y8.1 Healthy Daily Habits,,,Y8.1,yes,v2 residual code has no 3.0 home; 2.x code 8.1 was split,0,false,,adjudicated,Severin,2026-09-26
S248,design,Youth will be able to identify warning signs of dating violence.,,"Y8.12 Violence, Bullying & Victimization",Y8.4 Sexual & Reproductive Health,Y8.12,Y8.12,no,,0,false,,proposed,,
S249,design,Students will improve reading comprehension scores by one grade level.,,Y1.1 Literacy: Reading & Writing,"Y1.15 Grades, Credits & On-Track Status",Y1.1,Y1.1,no,,0,false,,proposed,,
S250,design,Youth will develop a sense of purpose for their lives.,Y5.5 Purpose & Future Orientation,Y5.5 Purpose & Future Orientation,,Y5.5,Y5.5,yes,2.x code 6.4 was split,0,false,,adjudicated,Severin,2026-09-26
S251,design,Teen parents will delay a second pregnancy for at least 24 months.,,Y8.4 Sexual & Reproductive Health,F1.1 Parenting Knowledge & Practices,Y8.4,Y8.4,no,,0,false,,proposed,,
S252,design,Families will navigate school enrollment and special education processes despite language barriers.,F1.7 System Navigation & Rights Knowledge,F1.7 System Navigation & Rights Knowledge,"A2.4 Inclusion, Accommodations & Language Access",F1.7,A2.4,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S253,design,Interns will demonstrate leadership and initiative in the workplace.,,Y7.3 Employability & Workplace Skills,"Y4.7 Teamwork, Collaboration & Group Leadership",Y7.3,Y7.3,no,,0,false,,proposed,,
S254,design,Youth will explain how a bill becomes a law in their state.,,Y6.2 Civic Knowledge,Y1.5 Other Academic Subjects,Y6.2,Y6.2,no,,0,false,,proposed,,
S255,design,"Participants will build confidence in outdoor physical skills (hiking, kayaking, rock climbing).",Y8.2 Motor & Sport Skills,Y8.2 Motor & Sport Skills,"Y5.4 Confidence, Self-Efficacy & Self-Worth",Y8.2,Y5.4,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
