gold_id,origin_id,set,program_type,outcome_text,v1_coder_a,v1_coder_b,v1_gold,v1_alternates,v1_agreement,v1_forced_fit,v2_coder_a,v2_coder_b,v2_gold,v2_alternates,v2_agreement,v2_forced_fit,v2_outcome_type,expected_uncoded,codebook_issues,adjudication_note,review_priority,status,adjudicated_by,adjudicated_on
S105,N-001,design,financial_capability,Youth will track their spending for four weeks and identify one change to their habits.,3.2.4,3.2.4,3.2.4,11.3;3.5.3,agreed,0,Y9.6,Y9.6,Y9.6,,agreed,0,behavior,false,No financial capability code.,,normal,proposed,,
S106,G-046,design,family_support,Families will enroll in SNAP and other public benefits they are eligible for.,12.5,12.5,12.5,,agreed,0,F2.1,F2.1,F2.1,F2.2,agreed,0,status|behavior,false,,,normal,proposed,,
S107,G-054,design,digital_equity,Youth will learn to protect their personal information online.,6.5,6.5,6.5,,agreed,0,Y5.7,Y5.7,Y5.7,Y7.9,agreed,0,knowledge|skill,false,,,normal,proposed,,
S108,N-021,design,camp_4h_scouting,Scouts will learn wilderness first aid and outdoor safety skills.,7.7,3.5.4,3.5.4,7.7,contested,1,Y10.5,Y10.5,Y10.5,Y7.10,agreed,0,skill,false,No subcategory covers safety-skill/first-aid training specifically.,First-aid/outdoor safety skills: no health-and-safety skills code.,high,proposed,,
S109,N-044,design,sports_recreation,Athletes will maintain passing grades to remain eligible for the team.,11.6,4.1,11.6,4.1,contested,1,Y8.3,Y8.3,Y8.3,Y1.5,agreed,0,status,false,No code for grades/GPA.,Course failures are part of the on-track indicator; no GPA/grades code.,high,proposed,,
S110,V-057,design,civic_engagement,Youth will identify a community issue and develop an action plan to address it.,6.2,6.3,6.2,6.3;3.5.3,contested,0,Y5.4,Y5.3,Y5.4,Y5.3,contested,0,skill,false,,Planning action on a community issue is civic action. v2: rc1: identifying an issue and planning action → Y5.4.,high,proposed,,
S111,N-089,design,general_education_tutoring,Students will ask questions in class and participate in discussions.,4.1,4.1,4.1,1.2,agreed,0,Y6.1,Y6.1,Y6.1,Y1.2,agreed,0,behavior,false,,,normal,proposed,,
S112,V-046,design,immigrant_refugee,Newcomer students will reduce social isolation and build friendships with peers who share similar experiences.,2.3,2.3,2.3,7.2,agreed,0,Y2.1 + Y2.3,Y2.3,Y2.3,Y2.1,contested,0,attitude|status,false, || v2: Isolation reduction could also read as belonging (Y2.1); friendship is the more specific term.,v2: Named friendships → Y2.3 (split: isolation → Y2.1).,high,proposed,,
S113,N-036,design,disability_inclusion,"The program will provide accommodations (sensory kits, visual schedules) so all youth can participate.",9.2,9.2,9.2,9.1,agreed,0,A2.4,A2.4,A2.4,A2.3,agreed,0,output,false,,,normal,proposed,,
S114,V-055,design,school_based_mental_health,Students identified as high-risk will be connected to community mental health providers for ongoing care.,7.4,7.4,7.4,3.3.4,agreed,0,Y11.4,Y11.4,Y11.4,Y11.1,agreed,0,status,false,,,normal,proposed,,
S115,G-036,design,general_education_tutoring,Students will explain how algebra relates to careers they are interested in.,1.3,1.3,1.3,8.4,agreed,0,Y1.4,Y1.4,Y1.4,Y7.3;Y9.1,agreed,0,knowledge|attitude,false,,,normal,proposed,,
S116,V-011,design,mentoring,Youth will feel like someone believes in them.,2.2,2.2,2.2,3.1.4;5.1,agreed,0,Y2.2,Y2.2,Y2.2,Y2.1,agreed,0,attitude,false,,,normal,proposed,,
S117,G-052,design,college_access,Seniors will submit at least three college applications and the FAFSA.,8.3,8.3,8.3,8.7,agreed,0,Y9.2,Y9.2,Y9.2,Y8.7,agreed,0,behavior,false,,,normal,proposed,,
S118,N-074,design,family_support,Parents will complete their GED or enroll in job training.,12.5,11.6 + 8.6,12.5,11.6;8.6,contested,1,F1.5,F1.5,F1.5,,agreed,0,status,false,No code for caregiver education attainment. | Domains 8/11 are written with student examples; applying them to a parent's own GED/training is a stretch.,Caregiver own education/training has no home.,high,proposed,,
S119,G-022,design,early_childhood,Parents will read with their child at home at least three nights per week.,12.4,12.4,12.4,12.1,agreed,0,F1.4,F1.4,F1.4,F1.1,agreed,0,behavior,false,,,normal,proposed,,
S120,N-006,design,foster_care_transition,"Transition-age youth will obtain their birth certificate, Social Security card, and state ID before exiting care.",8.3,8.3,8.3,12.5,agreed,1,Y9.7,Y9.7,Y9.7,,agreed,0,behavior|status,false,No code for independent-living/vital documents. | No subcategory covers independent-living/vital-document readiness for youth exiting foster care.,,high,proposed,,
S121,N-027,design,health_promotion,Students will increase daily consumption of fruits and vegetables.,7.1,7.1,7.1,,agreed,0,Y10.3,Y10.3,Y10.3,,agreed,0,behavior,false,,,normal,proposed,,
S122,N-085,design,school_based_mental_health,Students will be able to name three trusted adults or resources they can contact in a mental health crisis.,3.3.4,3.3.4,3.3.4,2.2,agreed,0,Y3.12,Y3.12,Y3.12,Y11.4,agreed,0,knowledge,false,,,normal,proposed,,
S123,V-059,design,civic_engagement,Youth will articulate how systemic racism affects their community and advocate for policy change.,6.4 + 6.3,6.4 + 6.3,6.4,6.3,agreed,0,Y5.5 + Y5.3,Y5.5 + Y5.3,Y5.5,Y5.3,agreed,0,knowledge,false,,,normal,proposed,,
S124,V-066,design,faith_based,Youth will report a stronger sense of purpose and belonging within their faith community.,5.4 + 2.1,5.4 + 2.1,5.4,3.1.4;5.1,agreed,0,Y4.5 + Y2.1,Y4.5 + Y2.1,Y4.5,Y5.1,agreed,0,attitude,false,,,normal,proposed,,
S125,G-051,design,faith_based,Youth will grow in their faith and live out their values.,5.4 + 5.2,5.2,5.2,5.4,contested,0,Y4.5 + Y5.1,Y5.1,Y5.1,Y4.5,contested,0,attitude,false,No spiritual code. || v2: Faith language routed to nearest construct per rule; Y4.5 (purpose/meaning) also plausible.,Faith routing to values; spiritual growth itself has no home. v2: Live out values → Y5.1; grow in faith → Y4.5.,high,proposed,,
S126,N-075,design,family_support,Caregivers will build friendships with other parents in the program.,12.3,12.3,12.3,2.5,agreed,0,F1.3,F1.3,F1.3,,agreed,0,status|behavior,false,,,normal,proposed,,
S127,V-036,design,family_support,Parents will attend at least 4 family workshops during the program year.,10.5,10.5,10.5,2.5,agreed,0,F3.2,A2.2,F3.2,A2.2,contested,0,behavior|output,false, || v2: F3.2 vs A2.2 rule unclear for per-parent attendance thresholds. | Ambiguous per tie-breaker between dosage count (A2.2) and family engagement framing (F3.2); specific count leans toward dosage.,v2: rc1: a per-person threshold framed as family engagement → F3.2.,high,proposed,,
S128,G-034,design,stem_robotics,Students will ask questions and show curiosity during science demonstrations.,1.2,1.2,1.2,1.1,agreed,0,Y1.2,Y1.2,Y1.2,Y6.1,agreed,0,behavior|attitude,false,,,normal,proposed,,
S129,N-017,design,lgbtq_youth,Youth will report greater self-acceptance of their sexual orientation and gender identity.,2.4,2.4,2.4,3.1.2;5.4,agreed,0,Y4.2,Y4.2,Y4.2,Y4.4,agreed,0,attitude,false,"2.4 defined around heritage/culture; LGBTQ self-acceptance straddles 2.4, 3.1.2 and 5.4 with no rule. | 2.4 example is heritage-scoped; LGBTQ identity affirmation not explicitly covered.",,normal,proposed,,
S130,G-056,design,general,Participants will show growth in the following areas:,none,none,none,,agreed,0,none,none,none,,agreed,0,none,true, || v2: Header/fragment introducing a list.,,normal,proposed,,
S131,N-016,design,lgbtq_youth,LGBTQ+ youth will report feeling safe and affirmed in program spaces.,2.1,2.1,2.1,5.1,agreed,0,Y2.1,Y2.1,Y2.1,Y4.2,agreed,0,attitude,false,Felt safety in program: 5.1 label includes Safety but 5.1 note routes program belonging to 2.1.,,normal,proposed,,
S132,N-020,design,camp_4h_scouting,4-H members will demonstrate public speaking skills by giving a demonstration at the county fair.,3.4.1,1.5,3.4.1,1.5,contested,0,Y3.9,Y3.9,Y3.9,Y7.6,agreed,0,skill,false,Public speaking skill has no explicit home; split between 3.4.1 and 1.5 presenting.,Public speaking is the skill; the fair demonstration is the means.,high,proposed,,
S133,G-030,design,afterschool_ost,"Youth will use a step-by-step process to identify a problem, brainstorm solutions, and act on one.",3.5.3,3.5.3,3.5.3,3.5.1,agreed,0,Y3.14,Y3.14,Y3.14,,agreed,0,skill,false,,,normal,proposed,,
S134,G-044,design,violence_prevention,Youth will be involved in fewer physical fights.,7.7,7.7,7.7,3.4.3,agreed,0,Y12.3,Y12.3,Y12.3,Y8.4,agreed,0,behavior|status,false,,,normal,proposed,,
S135,V-032,design,family_support,Parents will report increased confidence in their parenting skills.,12.1,12.1,12.1,12.2,agreed,1,F1.1,F1.1,F1.1,F1.2,agreed,0,attitude,false,Parenting self-efficacy/confidence not explicitly covered by 12.1 or 12.2. | No subcategory for caregiver parenting self-efficacy/confidence specifically.,,high,proposed,,
S136,V-060,design,civic_engagement,Youth organizers will present testimony to the city council on a policy issue affecting their neighborhood.,6.3,6.3,6.3,6.1,agreed,0,Y5.3,Y5.3,Y5.3,Y3.9,agreed,0,behavior,false,,,normal,proposed,,
S137,G-006,design,afterschool_ost,Youth will report enjoying program activities.,1.1,1.1,1.1,,agreed,0,Y1.1,Y1.1,Y1.1,A2.5,agreed,0,attitude,false,,,normal,proposed,,
S138,V-030,design,workforce_cte,Interns will report increased understanding of workplace culture and expectations at their internship site.,8.5,8.5,8.5,3.3.3,agreed,0,Y9.3,Y9.3,Y9.3,Y3.8,agreed,0,knowledge,false,,,normal,proposed,,
S139,V-040,design,housing_basic_needs,"Families will connect with case management and access public benefits (SNAP, TANF, Medicaid).",12.5,12.5,12.5,,agreed,0,F2.1,F2.1,F2.1,F1.6,agreed,0,status,false,,,normal,proposed,,
S140,V-014,design,arts_education,Students will use art as a healthy outlet for processing emotions.,3.2.2,3.2.2,3.2.2,1.4,agreed,0,Y3.3,Y3.3,Y3.3,Y3.2,agreed,0,behavior|skill,false, || v2: Art is the means/setting; the coping-with-stress construct is the closest named subcategory.,,normal,proposed,,
S141,N-018,design,lgbtq_youth,LGBTQ+ youth will report fewer experiences of harassment at school after the GSA launch.,7.7,7.7,7.7,5.1,agreed,0,Y12.3,Y12.3,Y12.3,Y2.1,agreed,0,status,false,,,normal,proposed,,
S142,V-021,design,sports_recreation,Coaches will report improved ability to de-escalate conflicts between players during games.,10.1,10.1,10.1,10.2,agreed,0,A1.1,A1.1,A1.1,A1.2,agreed,0,skill,false,,,normal,proposed,,
S143,N-040,design,immigrant_refugee,Refugee youth will maintain fluency in their home language while learning English.,11.4 + 11.4,2.4 + 11.4,2.4,11.4,contested,1,Y7.7,Y7.7,Y7.7,,agreed,0,skill,false,11.4 label says Multilingual Development but definition covers only English acquisition; home-language maintenance has no clear home. | No subcategory names heritage/home-language maintenance directly.,Home-language maintenance has no home; 11.4 definition covers English only.,high,proposed,,
S144,N-042,design,environmental_outdoor,Participants will report feeling calmer and more restored after time spent in nature.,1.1,1.1,1.1,7.2,agreed,0,Y11.2,Y11.2,Y11.2,Y5.6,agreed,0,attitude,false,,,normal,proposed,,
S145,V-063,design,faith_based,Youth will develop a personal set of moral values grounded in their faith tradition.,5.2,5.2,5.2,5.4,agreed,0,Y5.1,Y5.1,Y5.1,Y4.5,agreed,0,attitude,false,,,normal,proposed,,
S146,V-010,design,mentoring,Mentors will report increased confidence in their ability to support youth from different cultural backgrounds.,10.1,10.1,10.1,,agreed,0,A1.1,A1.1,A1.1,A1.2,agreed,1,attitude,false, || v2: No A1 code names staff confidence/self-efficacy; A1.1 covers only knowledge and skills. | No A-domain code names adult cultural-competence confidence specifically; nearest is A1.1.,,high,proposed,,
S147,N-090,design,general_education_tutoring,Students will score proficient on the state science assessment.,11.3,11.3,11.3,8.1,agreed,0,Y7.4,Y7.4,Y7.4,Y8.3,agreed,0,knowledge,false,,,normal,proposed,,
S148,N-083,design,school_based_mental_health,School counselors will implement a universal SEL screener.,10.2,10.2,10.2,10.3,agreed,0,A1.2,A1.2,A1.2,A3.1,agreed,0,behavior,false,,,normal,proposed,,
S149,N-030,design,program_quality,Staff turnover will decrease to below 20% annually.,10.3,10.3,10.3,10.5,agreed,1,A1.3,A1.3,A1.3,,agreed,0,status,false,No subcategory covers staff retention/workforce stability; 10.5 is youth participation. | No subcategory covers staff retention/turnover specifically.,,high,proposed,,
S150,N-050,design,media_journalism,Student reporters will publish at least two articles in the community newspaper.,1.5,1.5,1.5,1.4,agreed,0,Y7.2,Y7.2,Y7.2,Y3.9;Y5.3,agreed,0,behavior|skill,false,,,normal,proposed,,
S151,N-037,design,disability_inclusion,Youth with disabilities will transition into competitive integrated employment after high school.,8.8,8.8,8.8,8.6,agreed,0,Y9.5,Y9.5,Y9.5,,agreed,0,status,false,,,normal,proposed,,
S152,V-031,design,workforce_cte,Youth will explore at least three career pathways aligned to their interests using labor market data.,8.4,8.4,8.4,,agreed,0,Y9.1,Y9.1,Y9.1,Y1.4,agreed,0,behavior,false,,,normal,proposed,,
S153,N-073,design,early_childhood,Home visitors will observe increased positive parent-child interactions.,12.1,12.1,12.1,12.4,agreed,0,F1.1,F1.1,F1.1,,agreed,0,behavior,false,,,normal,proposed,,
S154,N-033,design,partnerships_systems,Neighborhood residents will report increased trust in one another and willingness to intervene for youth safety.,12.3,5.1,10.3,12.3,contested,1,A3.3,A3.3,A3.3,Y12.1,agreed,0,attitude|status,false,No home for community-level social cohesion/collective efficacy among residents. | No code for community-level collective efficacy among residents (not youth-specific).,Community collective efficacy has no home.,high,proposed,,
S155,N-049,design,media_journalism,Youth will evaluate the credibility of online news sources and identify misinformation.,8.2,8.2,8.2,6.5,agreed,1,Y7.9,Y7.9,Y7.9,Y5.7,agreed,0,skill,false,Media literacy fits 8.2 example but 8.2 is scoped to college/career; 6.5 is safety-focused. | No explicit media-literacy/misinformation subcategory.,,high,proposed,,
S156,N-063,design,restorative_justice,Out-of-school suspensions will decrease by 30% at partner schools.,11.6,11.6,11.6,10.3,agreed,0,Y8.4,Y8.4,Y8.4,A3.1,agreed,0,status,false,,,normal,proposed,,
S157,G-020,design,family_support,Families will report trusting program staff and feeling welcome at the center.,2.5,2.5,2.5,,agreed,0,F3.1,F3.1,F3.1,F3.2,agreed,0,attitude,false,,,normal,proposed,,
S158,G-011,design,sports_recreation,Youth will feel more confident trying new challenges.,3.1.4,3.1.4,3.1.4,5.4,agreed,0,Y4.3,Y4.3,Y4.3,Y1.2,agreed,0,attitude,false,,,normal,proposed,,
S159,N-048,design,stem_robotics,Participants will enroll in an advanced STEM course the following school year.,4.1,1.3,4.1,1.3;11.6,contested,1,Y8.6,Y8.6,Y8.6,Y1.3,agreed,0,behavior|status,false,No home for advanced course-taking / STEM pathway continuation. | No code for sustained interest leading to future course enrollment.,Advanced course-taking / sustained STEM interest has no home (proposed 1.6).,high,proposed,,
S160,V-067,design,juvenile_justice_reentry,Youth will reduce recidivism and avoid re-arrest within 12 months of program completion.,7.8,7.8,7.8,,agreed,0,Y12.4,Y12.4,Y12.4,,agreed,0,status,false,,,normal,proposed,,
S161,N-101,design,workforce_cte,Youth will demonstrate safe use of tools in the construction trades lab.,8.6,8.6,8.6,3.5.4,agreed,0,Y9.4,Y9.4,Y9.4,Y10.5,agreed,0,skill,false,,,normal,proposed,,
S162,N-019,design,camp_4h_scouting,Campers will demonstrate increased independence in self-care tasks away from home.,3.2.4,3.2.4,3.2.4,3.1.4;7.1,agreed,1,Y9.7,Y9.7,Y9.7,Y10.4,agreed,0,skill,false,No home for independent living/self-care skills. | No code for general self-care/independent-living skills outside foster-care context.,,high,proposed,,
S163,G-043,design,afterschool_ost,Students will feel safe and accepted at the program.,2.1,2.1,2.1,5.1,agreed,0,Y2.1,Y2.1,Y2.1,Y12.1,agreed,0,attitude,false,,,normal,proposed,,
S164,N-077,design,family_support,Parents will serve on the program's family advisory council.,2.5,2.5,2.5,10.4,agreed,0,F3.2,F3.2,F3.2,Y5.3,agreed,0,behavior,false,Parent participation in program governance (Epstein decision-making) sits between 2.5 and 10.4.,,normal,proposed,,
S165,V-073,design,early_childhood,Parents will read to their child at least 3 times per week.,12.4,12.4,12.4,12.1,agreed,0,F1.4,F1.4,F1.4,F1.1,agreed,0,behavior,false,,,normal,proposed,,
S166,N-057,design,youth_employment,Apprentices will complete a registered apprenticeship program.,8.6,8.6,8.6,8.7,agreed,0,Y9.4,Y9.4,Y9.4,,agreed,0,status,false,,,normal,proposed,,
S167,N-097,design,faith_based,Youth will practice forgiveness in their relationships with family and friends.,3.4.5,3.4.5,3.4.5,5.2,agreed,0,Y5.1,Y5.1,Y5.1,Y2.4,agreed,0,behavior,false,,,normal,proposed,,
S168,N-004,design,financial_capability,Students will be able to read a pay stub and explain payroll deductions.,11.3,11.3,11.3,8.5,agreed,1,Y9.6,Y9.6,Y9.6,Y7.3,agreed,0,skill,false,No financial literacy subcategory despite Mathematics subject area listing it. | No specific financial-literacy subcategory exists.,,high,proposed,,
S169,V-015,design,arts_education,Participants will collaborate with peers on a group theater production.,3.4.2,3.4.2,3.4.2,1.4,agreed,0,Y3.10,Y3.10,Y3.10,Y7.6,agreed,0,behavior|skill,false,,,normal,proposed,,
S170,V-056,design,school_based_mental_health,"Students will show improved emotional regulation, reduced disciplinary referrals, and better peer relationships.",3.2.1 + 11.6 + 2.3,3.2.1 + 11.6 + 2.3,3.2.1,7.2,agreed,0,Y3.2 + Y8.4 + Y2.3,Y3.2 + Y8.4 + Y2.3,Y3.2,Y3.3,agreed,0,skill,false,Office disciplinary referrals are not exclusionary discipline; split between 11.6 and 7.2 behavioral symptoms.,,normal,proposed,,
S171,V-029,design,workforce_cte,"Youth will demonstrate punctuality, professional communication, and appropriate workplace attire.",8.5,8.5,8.5,,agreed,0,Y9.3,Y9.3,Y9.3,,agreed,0,behavior|skill,false,,,normal,proposed,,
S172,V-068,design,juvenile_justice_reentry,Youth will develop skills to resist peer pressure and avoid risky behaviors.,3.5.4,3.5.4,3.5.4,7.5,agreed,0,Y3.16,Y3.16,Y3.16,Y12.2,agreed,0,skill,false,,,normal,proposed,,
S173,V-076,design,early_childhood,Parents will increase their understanding of child developmental milestones and appropriate expectations.,12.1,12.1,12.1,,agreed,0,F1.1,F1.1,F1.1,,agreed,0,knowledge,false,,,normal,proposed,,
S174,N-028,design,program_quality,Sites will improve their Youth Program Quality Assessment scores in the interaction and engagement domains.,10.2,10.5,10.2,10.3,contested,1,A2.1,A2.1,A2.1,,agreed,0,status,false,,Program quality has no home; YPQA misapplied to 10.5.,high,proposed,,
S175,N-069,design,mentoring,Mentees will report that their mentor challenges them to keep improving.,2.2,2.2,2.2,3.1.4,agreed,0,Y2.2,Y2.2,Y2.2,,agreed,0,attitude,false,,,normal,proposed,,
S176,G-021,design,family_support,The program will create a family advisory board with parent representatives.,10.4,10.4,10.4,2.5,agreed,0,F3.2,F3.2,F3.2,A3.1,agreed,0,output,false, || v2: Actor is the program (Part A by who-changed) but construct is family participation in decisions (F3.2).,,normal,proposed,,
S177,V-003,design,afterschool_ost,Participants will build new friendships with peers from different schools and grade levels.,2.3,2.3,2.3,3.4.5,agreed,0,Y2.3,Y2.3,Y2.3,Y3.7,agreed,0,status|behavior,false,,,normal,proposed,,
S178,N-052,design,college_access,First-generation students will persist into their second year of college.,8.7,8.7,8.7,,agreed,0,Y8.7,Y8.7,Y8.7,,agreed,0,status,false,,,normal,proposed,,
S179,V-004,design,afterschool_ost,"Youth will demonstrate improved frustration tolerance during homework time, leading to more assignments completed on time.",3.2.2 + 4.1,3.2.1 + 4.1,3.2.1,3.2.2,contested,0,Y3.2 + Y6.1,Y3.2 + Y6.1,Y3.2,Y6.2,agreed,0,skill,false,,Frustration tolerance is emotion regulation; split with 4.1 homework completion.,high,proposed,,
S180,V-018,design,sports_recreation,Athletes will demonstrate good sportsmanship (win or lose gracefully).,5.2,5.2,5.2,3.3.3;3.5.2,agreed,1,Y5.1,Y5.1,Y5.1,Y3.15,agreed,0,behavior|attitude,false,"Sportsmanship fits 5.2, 3.5.2 or 3.2.1 with no clear rule.",,high,proposed,,
S181,V-034,design,family_support,Parents will report feeling more connected to their child's school community.,2.5,2.5,2.5,12.3,agreed,0,F3.1,F3.1,F3.1,F1.3,agreed,0,attitude,false,2.5 is family-program relationship; connection to school community not program.,,normal,proposed,,
S182,V-058,design,civic_engagement,Youth will register to vote and participate in local elections.,6.3,6.1,6.3,6.1;6.2,contested,1,Y5.3 + Y5.3,Y5.3,Y5.3,Y5.2,agreed,0,behavior,false,No explicit home for electoral participation/voting. | No code specifically names voting/electoral participation as an action.,Electoral participation is not named anywhere.,high,proposed,,
S183,N-068,design,mentoring,Mentors will complete 6 hours of pre-match training.,10.5,10.1,10.5,10.1,contested,0,A2.2,A2.2,A2.2,A1.1,agreed,0,output,false,10.5 defined for youth program dosage; adult training dosage unclear between 10.5 and 10.1.,"Hours of training completed is dosage, not a stated knowledge gain.",high,proposed,,
S184,V-061,design,civic_engagement,Youth will complete 20 hours of community service through park cleanups and food drives.,6.2,6.2,6.2,3.5.5,agreed,0,Y5.4,Y5.4,Y5.4,A2.2,agreed,0,behavior,false,,,normal,proposed,,
S185,V-022,design,environmental_outdoor,Youth will increase their knowledge of local ecosystems and environmental science concepts.,11.3,11.3,11.3,,agreed,0,Y7.4,Y7.4,Y7.4,Y5.6,agreed,0,knowledge,false,,,normal,proposed,,
S186,V-051,design,disability_inclusion,Youth will build friendships with both disabled and non-disabled peers in an inclusive setting.,2.3,2.3,2.3,3.3.2,agreed,0,Y2.3,Y2.3,Y2.3,Y3.7,agreed,0,status,false,,,normal,proposed,,
S187,V-078,design,food_security,Youth will increase their knowledge of nutrition and healthy cooking skills.,7.1 + 7.1,7.1 + 7.1,7.1,12.6,agreed,1,Y10.3 + Y10.3,Y10.3 + Y10.3,Y10.3,Y9.7,agreed,0,knowledge,false,No subcategory for culinary/cooking skill (analogous to codebook's own 'knife skills' low-confidence example).,,high,proposed,,
S188,N-053,design,college_access,Students will visit at least three college campuses before senior year.,8.3,8.3,8.3,8.4,agreed,0,Y9.1,Y9.2,Y9.1,Y9.2,contested,0,behavior,false,,v2: rc1: college visits → Y9.1.,high,proposed,,
S189,V-069,design,juvenile_justice_reentry,Youth will successfully complete probation requirements and court-ordered conditions.,7.8,7.8,7.8,,agreed,0,Y12.4,Y12.4,Y12.4,,agreed,0,status,false,,,normal,proposed,,
S190,G-053,design,college_access,Graduates will enroll in a two- or four-year college the fall after high school.,8.7,8.7,8.7,,agreed,0,Y8.7,Y8.7,Y8.7,,agreed,0,status,false,,,normal,proposed,,
S191,N-007,design,foster_care_transition,Youth in extended foster care will enroll in health insurance through Medicaid until age 26.,12.5,12.5,12.5,7.4,agreed,1,Y10.7,Y10.7,Y10.7,F2.1,agreed,0,status,false,Domain 12 framed as caregiver/household; youth's own benefits enrollment has no clear home.,,high,proposed,,
S192,N-070,design,early_childhood,Children will demonstrate fine motor skills such as holding a pencil and using scissors.,11.7,11.7,11.7,7.1,agreed,0,Y10.2,Y10.2,Y10.2,Y7.8,agreed,0,skill,false,11.7 source note names only Language/Literacy and Cognition; physical/motor development not addressed. | 11.7 emphasizes literacy/cognition milestones; fine motor skill not explicitly listed.,,normal,proposed,,
S193,N-076,design,family_support,Parents will report knowing where to turn for help in a crisis.,12.5,3.3.4,12.5,12.3;3.3.4,contested,0,F1.6,F1.6,F1.6,F1.3,agreed,0,knowledge,false,3.3.4 examples are youth-focused; no caregiver-specific analog exists in Domain 12.,CSSP Concrete Support in Times of Need.,high,proposed,,
S194,G-017,design,afterschool_ost,New students will make at least two friends in the program.,2.3,2.3,2.3,,agreed,0,Y2.3,Y2.3,Y2.3,Y2.1,agreed,0,status|behavior,false,,,normal,proposed,,
S195,N-031,design,partnerships_systems,The coalition will establish a shared data system across five youth-serving agencies.,10.3,10.3,10.3,,agreed,0,A3.2,A3.2,A3.2,A3.1,agreed,0,status|output,false,,,normal,proposed,,
S196,V-082,design,digital_equity,Families will receive a laptop and home internet access.,9.1,9.1,9.1,10.5,agreed,0,A2.3,A2.3,A2.3,F1.5,agreed,0,output,false," || v2: Who-changed rule sends households to Part F, but only A2.3 names technology/connectivity access.",,normal,proposed,,
S197,N-094,design,arts_education,Students will critique a peer's artwork using the language of the discipline.,1.5,1.5,1.5,1.4,agreed,0,Y7.6,Y7.6,Y7.6,Y3.6,agreed,0,skill,false,,,normal,proposed,,
S198,V-037,design,housing_basic_needs,"Families will secure stable, safe housing within 90 days of program enrollment.",12.7,12.7,12.7,,agreed,0,F2.3,F2.3,F2.3,,agreed,0,status,false,,,normal,proposed,,
S199,G-049,design,arts_education,Students will develop technical proficiency on their chosen instrument.,11.3,1.4,11.3,1.4,contested,1,Y7.6,Y7.6,Y7.6,,agreed,0,skill,false,Arts technical skill development has no explicit home.,Artistic technique has no explicit home (live run also chose 11.3).,high,proposed,,
S200,N-012,design,runaway_homeless_youth,Youth experiencing homelessness will reduce nights spent on the street or in unsafe locations.,12.7,12.7,12.7,11.5;5.1,agreed,0,F2.3,F2.3,F2.3,Y12.1,agreed,0,status,false,Housing stability framed around families; unaccompanied youth housing not addressed.,,normal,proposed,,
S201,N-056,design,youth_employment,Summer youth employees will receive a positive supervisor evaluation.,8.5,8.8,8.5,8.8,contested,0,Y9.3,Y9.3,Y9.3,Y9.5,agreed,0,status,false,,"A supervisor evaluation measures workplace skills, not employment status.",high,proposed,,
S202,V-090,design,general_education_tutoring,Students will demonstrate increased confidence in their academic abilities.,4.4,4.4,4.4,3.1.4,agreed,0,Y6.4,Y6.4,Y6.4,Y4.3,agreed,0,attitude,false,,,normal,proposed,,
S203,G-027,design,environmental_outdoor,Youth will learn about local watershed ecology.,11.3,11.3,11.3,,agreed,0,Y7.4,Y7.4,Y7.4,Y5.6,agreed,0,knowledge,false,,,normal,proposed,,
S204,G-047,design,school_based_mental_health,Staff will adopt trauma-informed practices in their classrooms.,10.2,10.2,10.2,7.3,agreed,0,A1.2,A1.2,A1.2,,agreed,0,behavior,false,,,normal,proposed,,
S205,N-023,design,health_promotion,Youth will get at least eight hours of sleep on school nights.,7.1,7.1,7.1,,agreed,1,Y10.4,Y10.4,Y10.4,Y10.1,agreed,0,behavior,false,"Sleep health not named in 7.1. | Sleep is not named in 7.1's definition (exercise, nutrition, hygiene); no dedicated sleep code.",,high,proposed,,
S206,V-085,design,digital_equity,Family members will increase their digital literacy and confidence using technology for telehealth and school portals.,12.5,6.5,12.5,9.1;6.5,contested,1,F1.5 + F1.5,F1.5,F1.5,A2.3,agreed,0,skill,false,No home for caregiver digital literacy. | No subcategory covers caregiver digital-literacy skill-building specifically.,Caregiver digital skills have no home.,high,proposed,,
S207,V-020,design,sports_recreation,Participants will reduce screen time and increase physical activity outside of program hours.,7.1 + 7.1,7.1,7.1,5.3,agreed,0,Y10.1 + Y10.1,Y10.1 + Y10.1,Y10.1,Y10.4,agreed,0,behavior,false,,,normal,proposed,,
S208,V-088,design,general_education_tutoring,Students will improve their math problem-solving skills and grade-level proficiency.,11.2,11.2,11.2,,agreed,0,Y7.3,Y7.3,Y7.3,Y3.14,agreed,0,skill,false, || v2: Both clauses describe the same math-proficiency construct.,,normal,proposed,,
S209,G-031,design,sports_recreation,Youth will resolve disagreements with peers without fighting.,3.4.3,3.4.3,3.4.3,7.7,agreed,0,Y3.11,Y3.11,Y3.11,Y12.3,agreed,0,behavior|skill,false,,,normal,proposed,,
S210,V-080,design,food_security,Families will reduce reliance on emergency food assistance over time.,12.6,12.6,12.6,12.5,agreed,0,F2.2,F2.2,F2.2,F2.1,agreed,0,status,false,,,normal,proposed,,
S211,G-037,design,civic_engagement,Youth council members will present policy recommendations to city council.,6.3,6.3,6.3,6.1,agreed,0,Y5.3,Y5.3,Y5.3,Y3.9,agreed,0,behavior,false,,,normal,proposed,,
